"","car_name","car_info","car_price","ad_time","car_moreInfo","car_links"
"161","LADA (VAZ) 2106","2002, 1.5 L, 125 486 km","5 600 AZN","Biləsuvar, bugün 21:20","ŞəhərBiləsuvarMarkaLADA (VAZ)Model2106Buraxılış ili2002Ban növüSedanRəngGümüşüMühərrik1.5 LMühərrikin gücü65 a.g.Yanacaq növüBenzinYürüş125 486 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrQiymət5 600 AZNBarter mümkündürYerlərin sayı4Sahiblər1VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6743197-lada-vaz-2106"
"162","GAZ Next A65R52","2019, 2.8 L, 88 300 km","34 500 AZN","Bakı, bugün 21:20","ŞəhərBakıMarkaGAZModelNext A65R52Buraxılış ili2019Ban növüMikroavtobusRəngAğMühərrik2.8 LMühərrikin gücü149 a.g.Yanacaq növüDizelYürüş88 300 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrQiymət34 500 AZNHansı bazar üçün yığılıbRusiyaSahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743190-gaz-next-a65r52"
"163","MAZ 5337","1990, 11 L, 200 000 km","8 000 AZN","Qusar, bugün 21:19","ŞəhərQusarMarkaMAZModel5337Buraxılış ili1990Ban növüYük maşınıRəngMaviMühərrik11 LMühərrikin gücü180 a.g.Yanacaq növüDizelYürüş200 000 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrQiymət8 000 AZNHansı bazar üçün yığılıbDigərYerlərin sayı2Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743188-maz-5337"
"164","Chevrolet Cruze","2018, 1.4 L, 120 000 km","17 200 AZN","Bakı, bugün 21:18","ŞəhərBakıMarkaChevroletModelCruzeBuraxılış ili2018Ban növüSedanRəngQaraMühərrik1.4 LMühərrikin gücü153 a.g.Yanacaq növüBenzinYürüş120 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət17 200 AZNBarter mümkündürHansı bazar üçün yığılıbAmerikaYerlərin sayı4Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6658466-chevrolet-cruze"
"165","Hyundai Sonata","2007, 2.0 L, 183 000 km","16 900 AZN","Bakı, bugün 21:18","ŞəhərBakıMarkaHyundaiModelSonataBuraxılış ili2007Ban növüSedanRəngQaraMühərrik2.0 LMühərrikin gücü165 a.g.Yanacaq növüBenzinYürüş183 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət16 900 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743186-hyundai-sonata"
"166","Mercedes E 350","2008, 3.5 L, 243 000 km","24 500 AZN","Bakı, bugün 22:07","ŞəhərBakıMarkaMercedesModelE 350Buraxılış ili2008Ban növüSedanRəngAğMühərrik3.5 LMühərrikin gücü272 a.g.Yanacaq növüBenzinYürüş243 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət24 500 AZNHansı bazar üçün yığılıbAmerikaYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743184-mercedes-e-350"
"167","Hyundai Santa Fe","2013, 2.0 L, 115 000 km","33 800 AZN","Bakı, bugün 21:17","ŞəhərBakıMarkaHyundaiModelSanta FeBuraxılış ili2013Ban növüOffroader / SUVRəngAğMühərrik2.0 LMühərrikin gücü265 a.g.Yanacaq növüBenzinYürüş115 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət33 800 AZNHansı bazar üçün yığılıbAmerikaYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743180-hyundai-santa-fe"
"168","Kia Carnival","2015, 2.2 L, 186 000 km","45 000 AZN","Bakı, bugün 21:16","ŞəhərBakıMarkaKiaModelCarnivalBuraxılış ili2015Ban növüMinivanRəngQaraMühərrik2.2 LMühərrikin gücü202 a.g.Yanacaq növüDizelYürüş186 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət45 000 AZNYerlərin sayı7VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6562922-kia-carnival"
"169","Mitsubishi Grandis","2007, 2.4 L, 560 150 km","9 300 AZN","Bakı, bugün 21:17","ŞəhərBakıMarkaMitsubishiModelGrandisBuraxılış ili2007Ban növüMinivanRəngGümüşüMühərrik2.4 LMühərrikin gücü165 a.g.Yanacaq növüBenzinYürüş560 150 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət9 300 AZN","https://turbo.az/autos/6401497-mitsubishi-grandis"
"170","Chevrolet Cruze","2012, 1.4 L, 145 000 km","13 600 AZN","Bakı, bugün 21:16","ŞəhərBakıMarkaChevroletModelCruzeBuraxılış ili2012Ban növüSedanRəngAğMühərrik1.4 LMühərrikin gücü141 a.g.Yanacaq növüBenzinYürüş145 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət13 600 AZNBarter mümkündürHansı bazar üçün yığılıbAmerikaYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6701461-chevrolet-cruze"
"171","Hyundai Sonata","2014, 2.0 L, 93 000 km","27 300 AZN","Bakı, bugün 21:15","ŞəhərBakıMarkaHyundaiModelSonataBuraxılış ili2014Ban növüSedanRəngQaraMühərrik2.0 LMühərrikin gücü274 a.g.Yanacaq növüBenzinYürüş93 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət27 300 AZNKreditdədirHansı bazar üçün yığılıbAmerikaVəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6724902-hyundai-sonata"
"172","Opel Astra","2009, 1.4 L, 130 000 km","12 800 AZN","Bakı, bugün 21:13","ŞəhərBakıMarkaOpelModelAstraBuraxılış ili2009Ban növüHetçbekRəngQaraMühərrik1.4 LMühərrikin gücü90 a.g.Yanacaq növüBenzinYürüş130 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət12 800 AZNHansı bazar üçün yığılıbAvropaYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743175-opel-astra"
"173","LADA (VAZ) 2107","2007, 1.6 L, 122 000 km","7 000 AZN","Astara, bugün 21:13","ŞəhərAstaraMarkaLADA (VAZ)Model2107Buraxılış ili2007Ban növüSedanRəngAğMühərrik1.6 LMühərrikin gücü75 a.g.Yanacaq növüBenzinYürüş122 000 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrQiymət7 000 AZNHansı bazar üçün yığılıbDigərVəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743169-lada-vaz-2107"
"174","Mercedes C 220","1998, 2.2 L, 347 000 km","12 800 AZN","Bakı, bugün 21:12","ŞəhərBakıMarkaMercedesModelC 220Buraxılış ili1998Ban növüSedanRəngGöyMühərrik2.2 LMühərrikin gücü125 a.g.Yanacaq növüDizelYürüş347 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət12 800 AZNHansı bazar üçün yığılıbRəsmi dilerYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6743165-mercedes-c-220"
"175","BMW M6","2013, 4.4 L, 100 950 km","61 500 $","Bakı, bugün 21:12","ŞəhərBakıMarkaBMWModelM6Buraxılış ili2013Ban növüSedanRəngYaş AsfaltMühərrik4.4 LMühərrikin gücü600 a.g.Yanacaq növüBenzinYürüş100 950 kmSürətlər qutusuAvtomatÖtürücüTamYeniXeyrQiymət61 500 $Hansı bazar üçün yığılıbAvropaYerlərin sayı4VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6741864-bmw-m6"
"176","DongFeng Fengshen S30","2015, 1.6 L, 258 500 km","8 200 AZN","Bakı, bugün 21:12","ŞəhərBakıMarkaDongFengModelFengshen S30Buraxılış ili2015Ban növüSedanRəngAğMühərrik1.6 LMühərrikin gücü117 a.g.Yanacaq növüBenzinYürüş258 500 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət8 200 AZNYerlərin sayı5Sahiblər1VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743163-dongfeng-fengshen-s30"
"177","Kia Rio","2009, 1.6 L, 178 000 km","13 500 AZN","Bakı, bugün 21:10","ŞəhərBakıMarkaKiaModelRioBuraxılış ili2009Ban növüSedanRəngNarıncıMühərrik1.6 LMühərrikin gücü112 a.g.Yanacaq növüBenzinYürüş178 000 kmSürətlər qutusuAvtomatÖtürücüÖnYeniXeyrQiymət13 500 AZNHansı bazar üçün yığılıbAmerikaYerlərin sayı4Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743156-kia-rio"
"178","Hyundai i30","2007, 1.6 L, 181 000 km","14 200 AZN","Bakı, bugün 21:09","ŞəhərBakıMarkaHyundaiModeli30Buraxılış ili2007Ban növüHetçbekRəngQaraMühərrik1.6 LMühərrikin gücü116 a.g.Yanacaq növüDizelYürüş181 000 kmSürətlər qutusuMexanikiÖtürücüÖnYeniXeyrQiymət14 200 AZNBarter mümkündürHansı bazar üçün yığılıbDigərYerlərin sayı5Sahiblər2VəziyyətiVuruğu yoxdur, rənglənməyib","https://turbo.az/autos/6743153-hyundai-i30"
"179","Ford Transit","1999, 2.5 L, 223 450 km","16 700 AZN","Gəncə, bugün 21:08","ŞəhərGəncəMarkaFordModelTransitBuraxılış ili1999Ban növüFurqonRəngSarıMühərrik2.5 LMühərrikin gücü76 a.g.Yanacaq növüDizelYürüş223 450 kmSürətlər qutusuMexanikiÖtürücüArxaYeniXeyrQiymət16 700 AZNYerlərin sayı3Sahiblər2VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6694153-ford-transit"
"180","Mercedes E 220","2000, 2.2 L, 259 000 km","16 900 AZN","Xudat, bugün 21:06","ŞəhərXudatMarkaMercedesModelE 220Buraxılış ili2000Ban növüSedanRəngGöyMühərrik2.2 LMühərrikin gücü143 a.g.Yanacaq növüDizelYürüş259 000 kmSürətlər qutusuAvtomatÖtürücüArxaYeniXeyrQiymət16 900 AZNYerlərin sayı5VəziyyətiVuruğu yoxdur, rənglənib","https://turbo.az/autos/6725387-mercedes-e-220"
